Description,Score
"My name is Maria and I'm a single mom with two kids - a 7-year-old son and a 3-year-old daughter. I've lived in this apartment for 5 years. It's nothing fancy but it's been a stable home for my little family. 

About 8 months ago, I lost my job at the grocery store due to some health issues. I have chronic pain from a back injury a few years ago that flares up sometimes and makes it hard for me to be on my feet all day. I tried to get on disability benefits but I was denied. Without a steady income, I quickly fell behind on the rent.

I've been looking hard for a new job that works with my limitations, but it's been really tough. In the meantime, my savings dwindled away just trying to keep a roof over our heads and food on the table. The kids' dad isn't really in the picture. 

I feel like I've been juggling a million balls trying to take care of my kids, deal with my health issues, look for work, and figure out how to dig myself out of this hole. Some days it's overwhelming and I don't know where to turn. But I'm doing my absolute best.

I fell about 4 months behind on rent despite getting rental assistance for part of the missed payments. Now the landlord has started eviction proceedings against me. I'm scared we'll end up homeless. I don't know what I'll do then. I'm desperate to get back on my feet, but I need some more time. I don't want to uproot my kids from their school and neighborhood. This apartment is our home.",70
"""I'm so overwhelmed and ashamed about this eviction situation. My name is Maria and I'm a single mom raising two kids - Tommy who's 8 and Lily who's 5. Their dad walked out on us a few years ago and provides no financial support. 

I work as a home health aide but the hours are inconsistent and the pay isn't great. I can barely make ends meet as it is. A few months ago, I started having severe panic attacks and anxiety. The stress of being a single parent, working unpredictable hours, and money troubles just became too much. I had to start seeing a therapist and got prescribed medication, which has helped somewhat but also made me very fatigued and unfocused at times.

With my inconsistent income, I started falling behind on rent. I tried explaining my situation to the landlord and requested a payment plan, but they refused and moved ahead with eviction proceedings. I've lived in this apartment for 6 years and have been a good tenant otherwise. But now I'm facing homelessness with my two young kids unless I can get an extension or rental assistance. 

I'm at my wits' end and so anxious about having to uproot the kids from their school, friends and neighborhood they've known their whole lives. I don't know where we'll go or how I'll get back on my feet. I've never felt so hopeless and afraid for their future. I'm doing my best but struggling so much with my mental health too. I just need some understanding and a little more time to get the money together or find a new place we can afford.""

This tenant's account highlights several key vulnerability factors like being a struggling single parent, having young children, facing mental health issues, inconsistent low-income employment, and the threat of homelessness. Her story demonstrates the overwhelming stress and difficulties that can lead to an eviction situation for those with multiple complex challenges. An empathetic lawyer could identify her high degree of vulnerability based on the details she provides.",88
"""My name is Maria. I'm a single mom with two kids, ages 5 and 7. I've been living in this apartment for 3 years. It's been really hard making ends meet ever since I lost my job at the factory last year due to COVID layoffs. I've been doing gig work and odd jobs when I can, but it's not steady income. 

I fell behind on the rent about 6 months ago. I tried explaining my situation to the landlord, but they were really impatient and unwilling to work with me on a payment plan. I got an eviction notice last month saying I have to be out in 30 days. 

I've been looking for a new place, but it's almost impossible to get approved with my spotty employment history and eviction record now. My kids have already had to switch schools twice in the last year due to my unstable housing. I'm so stressed and depressed, I don't know what I'm going to do. 

I don't have any family nearby who can take us in. The local shelters are full. I make just enough to not qualify for most rental assistance programs. I'm stuck in a impossible situation and about to become homeless with two young kids. I don't know how I'm going to keep my family safe and together. I'm at my wit's end.""",88
"My name is Michael and I'm being evicted from my apartment that I've lived in for the past 3 years. I'll be honest, I haven't been the best tenant. I've had friends over regularly for parties until late at night, despite several warnings from the building manager about the noise complaints. A couple times I drunkenly got into shouting matches with neighbors in the hallway over parking spaces or whatever stupid thing seemed important at 2am. 

I also hadn't paid rent for the last 4 months. I know that's really bad, but I just haven't had the money lately. I lost my job waiting tables back in November after getting into an argument with my boss. Instead of looking for a new job right away, I figured I could just live off my savings for a while, order food every night, buy some new video games, etc. Before I knew it, most of my money was gone without me ever getting a new job lined up.

When the property manager started sending eviction notices, I just kind of ignored them thinking I could shake the landlord down for more time if I played dumb. But then the court hearings started and I still didn't have any good excuse for not paying, so I pretty much knew it was a lost cause at that point. I could have tried getting a loan from my parents, but I didn't want to admit to them how irresponsible I'd been.

So that's where I'm at - getting evicted this week because I made some pretty bonehead mistakes and choices. While it sucks to have to move everything out, it's probably for the best. I need to grow up and get my life together. Hopefully this is the wake up call I need.",12
"""I'm so stressed out about this eviction notice. I've lived in this apartment for 8 years and have always paid my rent on time until the last few months. Things just got really tough financially after I lost my job back in March. The company I worked for downsized because of the pandemic, and I haven't been able to find another job yet despite applying everywhere. 

My unemployment benefits barely cover rent, let alone utilities, food, and my medication copays. I have type 2 diabetes that's pretty well controlled with medication, but I can't afford to let my prescriptions lapse. I also help support my 75-year-old mother who lives alone. Her social security isn't enough to make ends meet, so I give her what I can each month for her expenses. 

I've fallen behind on rent the last three months. I keep getting notices from the landlord threatening eviction if I don't pay in full immediately. But I literally don't have the money. I've asked for an extension or a payment plan, but they won't budge. I'm so worried that my mom and I will end up homeless. This situation is making my diabetes worse from the stress. I don't know where to turn for help.""",58
"""I'm a single mom with two kids - a 7-year-old daughter and a 5-year-old son. I work part-time at a grocery store deli, but it's tough making ends meet on my own. The rent for our little two-bedroom apartment is over half my monthly income. 

I fell behind on rent a few months ago when my car broke down and I had to pay a huge repair bill. I used what little savings I had for that. I've been scrambling ever since, trying to catch up. 

I spoke to my landlord and he agreed to let me pay double rent for a couple of months to get caught up. But then my son got really sick - he has asthma and ended up in the hospital for a few days. More bills piled up with the hospital stay and I missed another rent payment.

Now the landlord is trying to evict me. I'm so stressed and don't know what to do. I can't afford to move somewhere else right now. And being evicted would make it even harder to find a new place with my credit and rental history. My kids don't deserve to be put out on the street over this. I'm doing the best I can but it never seems to be enough.""",65
"""My name is Maria and I'm a single mother of three young kids - ages 5, 7, and 9. I work two jobs to try to make ends meet, but it's a constant struggle. One job is as a cashier at a grocery store during the day, and the other is cleaning office buildings at night. Between the two jobs, I make around $2,000 per month after taxes. 

But the rent for our small two-bedroom apartment is $1,400 a month, not including utilities. Plus I have car payments, insurance, food, clothes for the growing kids, and all the other expenses that come with raising a family. Some months I get behind and then I'm playing catch up the next month. 

I admit I've been late on rent the past few months. It's not for lack of trying - I pick up extra shifts whenever I can. But sometimes one of the kids gets sick, or I have an unexpected car repair, and that little financial emergency sets me back. I know being consistently late violates my lease terms.

On top of that, my oldest has ADHD and has had some behavioral issues at school this year, which has been really stressing me out and making it hard to focus at my jobs. I'm doing the best I can, but I can totally understand why my landlord is frustrated and wants to evict us. I just don't know where we'll go - the housing market is so expensive here and there's nowhere else in my budget. I'm at my wit's end.""

This account highlights several potential vulnerability factors like being a struggling single parent, having a low income, having high rent burden, dealing with a child's disability/behavioral issues, and lack of affordable housing options. However, it is portrayed in a matter-of-fact way as the tenant's own words rather than explicitly stating a vulnerability score. The goal is to train lawyers to identify these types of real-world vulnerability signs themselves.",39
"""I'm so stressed out, I don't know what I'm going to do. The landlord is trying to evict me and my kids over some missed rent payments. I lost my job back in March when the COVID shutdowns hit. I was working part-time at a restaurant downtown and they just had to let me and a bunch of others go with no warning. 

I applied for unemployment benefits right away but it took over 2 months for that to finally come through. In the meantime, I had no income at all and could barely afford food, let alone rent. I kept calling and explaining the situation to the property manager but they didn't care - they just wanted their money.

Now I'm playing catch up but it's impossible. Even with my unemployment checks, I'm still behind on rent after covering other bills that piled up. My youngest has asthma and we couldn't let our health insurance lapse so I had to prioritize that. But now the landlord is taking me to housing court over $2,500 in back rent.

I'm a single mom without any family in the area to help out. My parents live across the country. I have no savings to speak of. I cry myself to sleep every night worried about becoming homeless and what that would mean for my kids' safety. I'm doing everything I can but I'm at the end of my rope here. I don't know what else to do - I feel so helpless and alone in this situation. Please, is there any way to stop this eviction?""",87
"My name is Maria and I'm a single mother with two young kids, ages 5 and 7. I work part-time at a grocery store deli counter, making just above minimum wage. It's really hard making ends meet on my own.  

I fell behind on my rent payments a few months ago when my hours were cut back at work. I just couldn't come up with the full amount. I tried explaining my situation to the landlord, but he wasn't very understanding. 

Now I'm being evicted. I've been so stressed and anxious over this whole situation. It's keeping me up at night worrying about where we'll go and how I'll come up with the money for another security deposit. My kids don't know what's going on yet, but they can sense my stress.

On top of that, my 7-year-old has asthma which has been acting up lately from all the anxiety I've been under. Last week I had to take him to the ER because he was wheezing so badly and couldn't catch his breath. The medical bills are just piling up.

I don't know what I'm going to do. I've applied for some rental assistance, but I'm on a long waiting list. My family lives across the country, so I don't have any local support system to turn to. I'm just feeling so overwhelmed and defeated. I'm scared we're going to end up homeless.",46
"My name is Maria and I'm a single mother of three young kids - ages 5, 7 and 9. About two years ago, my husband Johnny passed away suddenly from a heart attack at just 35 years old. It was devastating for all of us. Johnny was the main breadwinner, working construction to support our family. After he died, I had to go on welfare and food stamps to make ends meet. It's been really tough. 

I suffer from depression and anxiety, which has gotten much worse since Johnny died. Some days it's a struggle just to get out of bed. Taking care of three rambunctious kids alone is exhausting. I'm doing the best I can, but I often feel overwhelmed and hopeless about my situation.

Money is extremely tight. My welfare payments and Johnny's life insurance payout helped for a while, but that money ran out fast with rent, bills, food and everything else for me and the kids. I got behind on the rent during a period when my depression was really bad and I missed some work at my part-time job. 

I tried explaining my situation to the landlord and working out a payment plan, but he wouldn't budge. Now he's trying to evict me and my kids. I'm terrified we'll end up homeless. I don't know what I'll do if we get evicted - my parents live out of state and I have no other family nearby to stay with. The kids' school is here too. Getting evicted would uproot their entire lives.

I'm at the end of my rope here. I made some mistakes, but I'm doing everything I can while struggling with depression, single parenthood and poverty. Having stable housing is crucial, especially for my kids' wellbeing. I'll do anything to work out a deal and avoid getting evicted. I'm begging for a second chance and some compassion. Please help me.",88
"""I've lived in this apartment for almost 15 years. It's just me and my daughter Lily who is 10 years old. Her father passed away a few years back in a car accident. It's been really tough on us, emotionally and financially. 

I work part-time at a diner for minimum wage, but it's never quite enough to make ends meet. With the cost of living going up, I've gotten behind on the rent a few times. The landlord has been pretty understanding until now, but I just got an eviction notice. 

Lily has asthma and some learning disabilities, so we can't just move anywhere. This neighborhood is one of the few places her condition doesn't flare up as much. And her school has been great at providing the extra support she needs.

I don't know what we're going to do. My mom helped us out when she could, but she had a stroke last year and can't work anymore. I've applied for government assistance, but it's a long waiting list. 

If we get evicted, I'm worried we'll end up in a homeless shelter or someplace that will make Lily's asthma worse. She's just a little kid - she shouldn't have to go through all this. I don't want to uproot her life any more than it already has been. I'm doing the best I can, but I'm at my breaking point here.""",81
"""I'm so stressed out right now, I don't know what to do. My landlord is trying to evict me because I got behind on the rent. It all started when I lost my job at the factory back in March. With the pandemic, they had to let a bunch of people go. I tried so hard to find another job, but it was impossible. 

I burned through my savings pretty quickly trying to keep a roof over our heads. My wife works part-time at the grocery store, but it's just not enough to cover the rent and all our other bills. We have two kids, and I didn't want them to go hungry. 

I kept hoping I'd be able to find work again before we got too far behind. But after a few months, the late fees and interest started piling up. I owed thousands to the landlord at that point. We tried negotiating a payment plan, but he wouldn't budge. 

Now he's taking us to housing court to get evicted. I'm scared we're going to end up on the streets. I've been looking into shelters, but with COVID, a lot of them are full already. And then there's my wife's asthma to worry about - those places aren't exactly the best environment for her.

I wish I could find some way to get an extension or a temporary let up on the rent. But the landlord seems dead set on kicking us out. I'm at my wit's end here. I'll take any job I can get at this point to try to get us back on track. I just need some more time.""",37
"""I'm a single mom with two kids - an 8-year-old son and a 3-year-old daughter. I work full-time as a cashier at the grocery store, but it's still really tough making ends meet on my own. When the pandemic hit, my hours got cut for a few months which made it impossible to pay the full rent. I got behind and just couldn't catch up, even after my hours went back up. 

I tried explaining the situation to the landlord and paid what I could, but he hasn't been very understanding. I'm dealing with a lot - trying to be a good mom, work, pay bills, get the kids where they need to go. Some days I'm just running on fumes. It's really hard without any family support nearby. 

Now the landlord is taking me to housing court to evict me. I don't know what I'm going to do. I don't have much savings, bad credit from when I was unemployed a few years ago, and it's nearly impossible to find another place in this area that I can afford. I'm so stressed and scared about becoming homeless with my kids. I don't want to uproot them from their school and friends. This could be devastating for all of us. I wish the landlord could work with me, but he hasn't shown any leniency at all.""",25
"""It's been such a struggle lately. I lost my job at the factory about 6 months ago after they had to make some major layoffs. I've been looking everywhere for a new job, but it's been really tough in this economy. My unemployment benefits ran out a couple months ago too. 

I have a health condition that causes chronic pain and fatigue, which makes it even harder to work certain jobs. But I can't afford my medication without insurance from an employer. It's been a vicious cycle.

My wife works part-time at a grocery store, but it's just not enough to cover our rent and basic living expenses. We've had to make impossible choices between paying rent, utilities, food, or my medication some months. We've gotten behind and just can't catch up.

The landlord has been pretty understanding for a while, but now they're taking us to housing court for eviction over the back rent we owe. I don't know what we're going to do. With my health issues and lack of steady income, finding a new affordable place feels impossible. This could leave us homeless.

We have a 10-year-old son too. It breaks my heart thinking about the stress and instability this is causing him. I just want to be able to provide for my family. I never imagined we'd be in this situation after I worked hard at that factory job for over 15 years. I'm at my wits' end.""",77
"""I'm sorry, I know I'm behind on the rent again. It's been a real struggle lately. My hours got cut back at work because business has been slow. I'm only getting about 25 hours a week when I used to get 40. I've been trying to pick up some side gigs just to make ends meet, but it's not enough. 

On top of that, my car broke down last month. I had to pay a bunch to get it fixed because I need it to get to work. But thatyset me back almost $1,000 that I didn't have. 

I'm also dealing with some health issues. I've had to go to a bunch of medical appointments and tests. I don't have any medical insurance, so I'm getting billed for everything. I just can't seem to get ahead.

I know I should have reached out sooner, but I've been embarrassed and ashamed about my situation. I didn't want to bother you. I've lived here for 8 years and have always paid on time before. This is just a temporary setback, I swear. 

If you can just give me a little more time, I'm sure I can catch up. Maybe we can work out a payment plan? I'll do anything, I don't want to get evicted. This apartment is my home and I have nowhere else to go. Please work with me on this. I'm begging you.""",72
"""I'm a single mom with two kids under 10. I work two jobs to make ends meet - I'm a cashier at a grocery store during the day and waitress at a diner at night. It's tough juggling everything, but I do my best to provide for my family. 

Last month, my car broke down and I had to pay over $800 to get it fixed. It wiped out my savings. Then my youngest got an ear infection and I had to take unpaid time off work to take him to the doctor and stay home with him for a few days until he felt better. 

I got behind on the rent as a result. I told my landlord what was going on and asked if I could have an extension until my next paycheck, but he refused. He handed me an eviction notice saying if I don't pay the full amount by next week, I have to be out. 

I'm at my wits end. I don't know where we'll go if we get evicted. My family lives across the country and I can't just pack up and move with the kids in the middle of the school year. Plus, most places require first and last month's rent upfront, which I can't afford. 

I'm doing everything I can, but as a single mom making minimum wage, one emergency is all it takes to really set me back. I'm scared we'll end up homeless. I've tried explaining my situation to the landlord, but he doesn't seem to care. I don't know what else to do.""",9
"""I've been living in this apartment for 3 years now. It's nothing fancy, but it's been a decent enough place to call home. I work full-time at a retail job downtown, making just above minimum wage. It's not a lot of money, but I try my best to make ends meet. 

About 6 months ago, I started having some financial troubles. My hours got cut back at work, and I also had some unexpected medical bills come up. I fell behind on my rent payments. I know I should have reached out to my landlord sooner to try to work something out, but to be honest, I was embarrassed and hoped I could catch up soon. 

Well, that didn't happen. The landlord served me with an eviction notice last month for non-payment of rent. I think the total I owe now is around $3,000 including late fees. I've been scrambling to come up with the money by picking up extra shifts and borrowing from friends and family. But I'm still about $1,500 short of what I need to get totally caught up.

I have a court hearing scheduled next week. I'm going to plead my case and see if the judge will give me a bit more time to get the remaining money together. I don't have any andere place lined up to move to. Losing this apartment would be devastating for me right now. I'm really hoping I can work something out.""

This tenant is in a tough financial situation due to reduced income and unexpected expenses. While employed full-time, they make just above minimum wage which doesn't provide much buffer for hardships. They admittedly made some mistakes in communication with their landlord. But their main vulnerability seems to be lack of financial resources and thin margin for error before falling behind on rent. A 20/100 score reflects a moderately vulnerable situation.",20
"""My name is Maria, and I'm a single mother of three kids - ages 5, 8, and 11. It's just been me raising them since my husband passed away a few years ago in a car accident. I work as a cashier at the grocery store, but it doesn't pay much and I've really struggled to make ends meet since he's been gone. 

I got behind on the rent payments because my hours got cut back when the pandemic hit. I tried explaining the situation to the landlord, but he wasn't very understanding. With schools being closed, I had to quit my job for a while to watch the kids. I burned through what little savings I had.

When I finally found a new job, I was playing catch up on all the back rent I owed. But then my youngest got really sick - he has asthma and ended up in the hospital for a week with pneumonia. More missed work and medical bills piling up. 

I'm doing my best, but it never seems to be enough. Now the landlord is trying to evict us. I don't know where we'll go if we get kicked out - I have no family nearby to help. My mental health has taken a beating with all this stress. I cry a lot lately worrying about keeping a roof over my kids' heads. I'm at the end of my rope here.""

This account highlights several potential vulnerability factors including being a struggling single parent, job insecurity and financial instability, lack of family/community support, physical and mental health issues, and the trauma of a spouse's death. Her situation paints the picture of someone in a very precarious position who could face severe consequences from an eviction.",80
"""I'm a single mom with two kids, ages 8 and 5. I work part-time as a cashier at the grocery store down the street, but it's really hard to make ends meet on my own. With rent, utilities, food, and everything else, I'm always behind on bills no matter how much I cut back. 

I fell behind on rent during the pandemic when my hours were cut back and my childcare fell through. I tried setting up a payment plan with my landlord, but he wasn't willing to work with me at all. I've been slowly catching up, but he filed for eviction saying I still owe too much back rent.

On top of that, my 8-year-old has asthma which has been acting up a lot lately. The apartment gets pretty humid and I've noticed some mold growing in the bathroom. I've asked the landlord to fix it, but he blew me off. With the eviction looming, I'm really stressed which isn't helping my kid's breathing issues.

I don't know what I'm going to do if we get evicted. With an eviction on my record, no one will rent to me. My family lives across the country, so I don't have any local support. I cry a lot thinking about my kids and I having to live in a shelter or, God forbid, our car. This situation is breaking me.""",69
"""I'm behind on my rent, I know, and now my landlord is trying to evict me and my kids. It's been such a struggle lately. I lost my job back in March when the factory I worked at had to let a bunch of people go. I've been trying so hard to find another steady job, but it's not easy. 

In the meantime, my unemployment benefits haven't been enough to cover all the bills. I had to choose between keeping the lights on or paying rent some months. I'm so stressed and depressed about it all. My 8-year-old has started wetting the bed again from the anxiety, poor kid.

My mom helped out with rent money when she could, but then she had a bad fall and has been in and out of the hospital. I'm her only family in town to care for her right now too. It's just been one thing after another.

I know I should have tried harder or made different choices somewhere, but I'm just so overwhelmed. I've applied for rental assistance programs, but they have crazy waitlists. I don't know what I'll do if I get evicted - my credit is already shot from those months I couldn't pay, so no one will rent to me. I'm scared we'll end up homeless. I don't want my kids to have to go through that trauma.""",79
"""It's been a really tough year for me and my family. Last spring, I lost my job at the factory when they did big layoffs due to the pandemic. I've been scraping by on unemployment benefits, but it's just not enough to cover all the bills. 

My wife works part-time at a grocery store, but she had to take some time off when our youngest son Timmy got really sick back in November. He's better now, but we're still paying off those medical bills. 

I've been looking hard for a new job, but opportunities have been so limited. A couple times I thought I had something lined up, but then the hiring froze or I didn't get picked in the end. It's been so discouraging.

With the unemployment running out and the bills piling up, we just couldn't make rent the last couple of months. The property manager has been hounding us, but I keep telling them I'll pay as soon as I can. I'm so worried we're going to get evicted and my kids will have to change schools in the middle of the year. I'm at my wit's end here. If you know anyone hiring, please let me know. I'm ready to take any kind of job at this point...""",47
